경마장,경주일,경주번호,신마수_예상1_코드98기준,삼복_rank1_적중,삼복_rank1_배당,삼복_rank2_적중,삼복_rank2_배당,복승_rank1_적중,복승_rank1_배당,복승_rank2_적중,복승_rank2_배당
부산,20251031,1,11,0,0.0,0,0.0,0,0.0,0,0.0
부산,20251031,2,0,1,11.0,1,11.0,1,5.1,1,5.1
부산,20251031,3,1,1,62.4,0,0.0,1,6.3,1,6.3
부산,20251031,4,0,1,50.0,1,50.0,1,31.3,1,31.3
부산,20251031,5,0,0,0.0,0,0.0,1,17.8,1,17.8
부산,20251031,6,0,1,48.3,1,48.3,1,19.8,1,19.8
부산,20251031,7,0,1,12.4,1,12.4,1,10.9,1,10.9
부산,20251031,8,0,0,0.0,0,0.0,1,4.5,1,4.5
부산,20251102,1,4,0,0.0,0,0.0,0,0.0,0,0.0
부산,20251102,2,1,1,12.8,1,12.8,1,7.5,1,7.5
부산,20251102,3,0,1,34.6,1,34.6,1,8.0,1,8.0
부산,20251102,4,0,1,25.7,0,0.0,1,44.7,0,0.0
부산,20251102,5,0,1,19.3,1,19.3,1,7.9,1,7.9
부산,20251102,6,0,1,5.7,1,5.7,1,5.5,1,5.5
부산,20251107,1,7,0,0.0,0,0.0,0,0.0,0,0.0
부산,20251107,2,1,1,22.3,1,22.3,1,12.3,1,12.3
부산,20251107,3,0,1,2687.9,0,0.0,1,376.4,0,0.0
부산,20251107,4,0,0,0.0,1,22.8,1,5.1,1,5.1
부산,20251107,5,0,1,9.8,1,9.8,1,3.8,1,3.8
부산,20251107,6,0,0,0.0,0,0.0,0,0.0,0,0.0
부산,20251107,7,0,1,100.5,0,0.0,1,190.9,0,0.0
부산,20251107,8,4,0,0.0,0,0.0,0,0.0,0,0.0
부산,20251107,9,0,0,0.0,0,0.0,0,0.0,0,0.0
부산,20251109,1,0,1,30.4,0,0.0,1,12.1,0,0.0
부산,20251109,2,4,1,8.9,1,8.9,1,3.7,1,3.7
부산,20251109,3,0,0,0.0,1,12.7,1,2.7,1,2.7
부산,20251109,4,0,0,0.0,0,0.0,0,0.0,0,0.0
부산,20251109,5,1,1,33.0,0,0.0,1,11.7,1,11.7
부산,20251109,6,0,0,0.0,0,0.0,0,0.0,0,0.0
부산,20251114,1,6,0,0.0,0,0.0,0,0.0,0,0.0
부산,20251114,2,0,1,36.8,0,0.0,1,28.0,1,28.0
부산,20251114,3,1,1,8.9,1,8.9,1,5.5,1,5.5
부산,20251114,4,0,0,0.0,1,9.6,1,6.4,1,6.4
부산,20251114,5,0,1,51.8,1,51.8,1,21.5,1,21.5
부산,20251114,6,0,1,6.5,1,6.5,1,1.5,1,1.5
부산,20251114,7,0,1,19.6,1,19.6,1,5.3,1,5.3
부산,20251114,8,0,1,26.4,0,0.0,1,16.5,0,0.0
부산,20251114,9,0,1,75.3,1,75.3,1,17.3,1,17.3
부산,20251116,1,3,1,2.2,1,2.2,1,3.7,1,3.7
부산,20251116,2,0,1,60.2,1,60.2,1,12.5,1,12.5
부산,20251116,3,0,1,28.3,1,28.3,1,12.8,1,12.8
부산,20251116,4,0,1,64.0,1,64.0,1,28.3,1,28.3
부산,20251116,5,0,1,4.4,1,4.4,1,9.2,1,9.2
부산,20251116,6,0,1,9.7,1,9.7,1,5.6,1,5.6
부산,20251121,1,3,0,0.0,0,0.0,1,6.3,1,6.3
부산,20251121,2,5,0,0.0,0,0.0,1,5.0,1,5.0
부산,20251121,3,0,1,12.3,1,12.3,1,15.2,1,15.2
부산,20251121,4,0,0,0.0,0,0.0,1,21.0,1,21.0
부산,20251121,5,0,1,23.9,1,23.9,1,28.4,1,28.4
부산,20251121,6,0,0,0.0,1,32.2,1,9.7,1,9.7
부산,20251121,7,2,0,0.0,0,0.0,0,0.0,0,0.0
부산,20251121,8,0,0,0.0,0,0.0,0,0.0,0,0.0
부산,20251121,9,0,1,12.7,1,12.7,1,9.5,1,9.5
부산,20251123,1,4,1,4.0,1,4.0,1,27.3,1,27.3
부산,20251123,2,0,0,0.0,0,0.0,0,0.0,0,0.0
부산,20251123,3,0,0,0.0,0,0.0,1,3.8,1,3.8
부산,20251123,4,0,0,0.0,1,23.1,1,3.9,1,3.9
부산,20251123,5,0,0,0.0,0,0.0,1,60.0,1,60.0
부산,20251123,6,0,0,0.0,0,0.0,1,20.1,1,20.1
부산,20251128,1,8,0,0.0,0,0.0,0,0.0,0,0.0
부산,20251128,2,8,0,0.0,0,0.0,0,0.0,0,0.0
부산,20251128,3,0,1,36.0,1,36.0,1,33.9,1,33.9
부산,20251128,4,0,0,0.0,0,0.0,0,0.0,0,0.0
부산,20251128,5,0,0,0.0,0,0.0,1,19.8,1,19.8
부산,20251128,6,0,0,0.0,1,36.4,1,4.6,1,4.6
부산,20251128,7,0,0,0.0,1,245.0,0,0.0,1,34.9
부산,20251128,8,0,1,8.7,1,8.7,1,10.7,1,10.7
부산,20251128,9,0,0,0.0,0,0.0,1,2.8,1,2.8
부산,20251130,1,0,0,0.0,1,52.1,0,0.0,1,18.2
부산,20251130,2,1,1,4.2,1,4.2,1,3.6,1,3.6
부산,20251130,3,0,0,0.0,1,14.5,0,0.0,1,13.3
부산,20251130,4,0,0,0.0,1,8.0,1,7.9,1,7.9
부산,20251130,5,0,0,0.0,0,0.0,0,0.0,0,0.0
부산,20251130,6,0,0,0.0,1,251.1,0,0.0,1,74.4
서울,20251101,1,11,0,0.0,0,0.0,0,0.0,0,0.0
서울,20251101,2,6,0,0.0,0,0.0,0,0.0,0,0.0
서울,20251101,3,1,1,11.7,0,0.0,1,5.2,0,0.0
